real_name,screen_name,party_id,most_recent_chamber,date_of_birth,gender,repr_state,race,date_of_first_federal_assignment,date_of_last_federal_assignment,years_in_office_2020,white_non_white
Joe Wilson,RepJoeWilson,R,House,31-Jul-47,M,South Carolina,White,2001,2020,19,White
John Culberson,johnculberson,R,House,24-Aug-56,M,Texas,White,2001,2019,18,White
David Rouzer,RepDavidRouzer,R,House,16-Feb-72,M,North Carolina,White,2015,2020,5,White
James E Clyburn,Clyburn,D,House,21-Jul-40,M,South Carolina,Black,1993,2020,27,Non-White
Virginia Foxx,virginiafoxx,R,House,29-Jun-43,F,North Carolina,White,2005,2020,15,White
John Sullivan,USRepSullivan,R,House,1-Jan-65,M,Oklahoma,White,2002,2013,11,White
Jim McDermott,RepJimMcDermott,D,House,28-Dec-36,M,Washington,White,1989,2017,28,White
Chris Smith,RepChrisSmith,R,House,4-Mar-53,M,New Jersey,White,1981,2020,39,White
Mark Sanford,RepSanfordSC,R,House,28-May-60,M,South Carolina,White,2013,2019,6,White
David Scott,repdavidscott,D,House,27-Jun-45,M,Georgia,Black,2003,2020,16,Non-White
Mark Amodei,MarkAmodeiNV2,R,House,12-Jun-58,M,Nevada,White,2011,2020,9,White
Morgan Griffith,RepMGriffith,R,House,15-Mar-58,M,Virginia,White,2011,2020,9,White
Kay Granger,RepKayGranger,R,House,18-Jan-43,F,Texas,White,1997,2020,23,White
Mike Conaway,ConawayTX11,R,House,11-Jun-48,M,Texas,White,2005,2020,15,White
Susan Collins,SenatorCollins,R,Senate,7-Dec-52,F,Maine,White,1997,2020,23,White
Steven A King,SteveKingIA,R,House,28-May-49,M,Iowa,White,2003,2020,17,White
David Valadao,RepDavidValadao,R,House,14-Apr-77,M,California,White,2013,2019,6,White
Jeff Flake,JeffFlake,R,Senate,31-Dec-62,M,Arizona,White,2001,2019,18,White
John Sarbanes,RepSarbanes,D,House,22-May-62,M,Maryland,White,2007,2020,13,White
Lee Zeldin,RepLeeZeldin,R,House,30-Jan-80,M,New York,White,2015,2020,5,White
Tom Latham,TomLatham,R,House,14-Jul-48,M,Iowa,White,1995,2015,20,White
Dan Lungren,RepDanLungren,R,House,22-Sep-46,M,California,White,2005,2013,8,White
Ed Whitfield,RepEdWhitfield,R,House,25-May-43,M,Kentucky,White,1995,2016,21,White
Vernon Buchanan,VernBuchanan,R,House,8-May-51,M,Florida,White,2007,2020,13,White
Ralph Abraham,RepAbraham,R,House,16-Sep-54,M,Louisiana,White,2015,2020,5,White
Chuck Grassley,ChuckGrassley,R,Senate,17-Sep-33,M,Iowa,White,1975,2020,45,White
Richard E. Neal,RepRichardNeal,D,House,14-Feb-49,M,Massachusetts,White,1989,2020,31,White
James E Risch,SenatorRisch,R,Senate,3-May-43,M,Idaho,White,2009,2020,11,White
Rodney Frelinghuysen,USRepRodney,R,House,29-Apr-46,M,New Jersey,White,1995,2019,24,White
Raul Ruiz,CongressmanRuiz,D,House,25-Aug-72,M,California,Hispanic,2013,2020,7,Non-White
Richard C. Shelby,SenShelby,R,Senate,6-May-34,M,Alabama,White,1987,2020,33,White
Mo Brooks,RepMoBrooks,R,House,29-Apr-54,M,Alabama,White,2011,2020,9,White
Russ Feingold,russfeingold,D,Senate,2-Mar-53,M,Wisconsin,White,1993,2011,18,White
John Fleming,RepFleming,R,House,5-Jul-51,M,Louisiana,White,2009,2017,8,White
Jim Moran,Jim_Moran,D,House,16-May-45,M,Virginia,White,1991,2015,24,White
Ted Yoho,RepTedYoho,R,House,13-Apr-55,M,Florida,White,2013,2020,7,White
Joe Lieberman,JoeLieberman,D,Senate,24-Feb-42,M,Connecticut,White,1989,2013,24,White
Peter DeFazio,RepPeterDeFazio,D,House,27-May-47,M,Oregon,White,1987,2020,33,White
Gary Ackerman,RepGaryAckerman,D,House,19-Nov-42,M,New York,White,1983,2013,30,White
Don Young,repdonyoung,R,House,9-Jun-33,M,Alaska,White,1973,2020,47,White
Connie Mack,RepConnieMack,R,House,12-Aug-67,M,Florida,White,2005,2013,8,White
Austin Scott,AustinScottGA08,R,House,10-Dec-69,M,Georgia,White,2011,2020,9,White
Colleen Hanabusa,RepHanabusa,D,House,4-May-51,M,Hawaii,Asian,2011,2019,7,Non-White
Ron Kind,RepRonKind,D,House,16-Mar-63,M,Wisconsin,White,1997,2020,23,White
Brett Guthrie,RepGuthrie,R,House,18-Feb-64,M,Kentucky,White,2009,2020,11,White
Kurt Schrader,RepSchrader,D,House,19-Oct-51,M,Oregon,White,2009,2020,11,White
Jeb Hensarling,RepHensarling,R,House,29-May-57,M,Texas,White,2003,2019,16,White
Bill Owens,BillOwensNY,D,House,20-Jan-49,M,New York,White,2009,2015,6,White
David Loebsack,daveloebsack,D,House,23-Dec-52,M,Iowa,White,2007,2020,13,White
John Katko,RepJohnKatko,R,House,9-Nov-62,M,New York,White,2015,2020,5,White
Pete Visclosky,RepVisclosky,D,House,13-Aug-49,M,Indiana,White,1985,2020,35,White
Brad Sherman,BradSherman,D,House,24-Oct-54,M,California,White,1997,2020,23,White
F James Sensenbrenner Jr,JimPressOffice,R,House,14-Jun-43,M,Wisconsin,White,1979,2020,31,White
Joe Baca,RepJoeBaca,D,House,23-Jan-47,M,California,Hispanic,1999,2013,24,Non-White
Tom Cole,TomColeOK04,R,House,28-Apr-49,M,Oklahoma,Native American,2003,2020,17,Non-White
John Lewis,repjohnlewis,D,House,21-Feb-40,M,Georgia,Black,1987,2020,33,Non-White
Mac Thornberry,MacTXPress,R,House,15-Jul-58,M,Texas,White,1995,2020,25,White
Bobby L Rush,RepBobbyRush,D,House,23-Nov-46,M,Illinois,Black,1993,2020,27,Non-White
Tim Johnson,SenJohnsonSD,D,Senate,28-Dec-46,M,South Dakota,White,1997,2015,18,White
Dave Trott,repdavetrott,R,House,16-Oct-60,M,Michigan,White,2015,2019,4,White
Collin C Peterson,collinpeterson,D,House,29-Jun-44,M,Minnesota,White,1991,2020,29,White
Ben R. Lujan,repbenraylujan,D,House,7-Jun-72,M,New Mexico,Hispanic,2009,2020,11,Non-White
Mike Doyle,USRepMikeDoyle,D,House,5-Aug-53,M,Pennsylvania,White,1995,2020,25,White
John Moolenaar,RepMoolenaar,R,House,8-May-61,M,Michigan,White,2015,2020,5,White
Ander Crenshaw,AnderCrenshaw,R,House,1-Sep-44,M,Florida,White,2001,2017,16,White
Phil Roe,DrPhilRoe,R,House,21-Jul-45,M,Tennessee,White,2009,2020,11,White
J. Randy Forbes,Randy_Forbes,R,House,17-Feb-52,M,Virginia,White,2001,2017,16,White
Bennie G. Thompson,BennieGThompson,D,House,28-Jan-48,M,Mississippi,Black,1993,2020,27,Non-White
Gresham Barrett,greshambarrett,R,House,14-Feb-61,M,South Carolina,White,2003,2011,8,White
Peter Hoekstra,petehoekstra,R,House,30-Oct-53,M,Michigan,White,1993,2011,18,White
Mark R Meadows,RepMarkMeadows,R,House,28-Oct-59,M,North Carolina,White,2013,2020,7,White
Saxby Chambliss,SaxbyChambliss,R,Senate,10-Nov-43,M,Georgia,White,1995,2015,20,White
Dan Benishek,CongressmanDan,R,House,20-Apr-52,M,Michigan,White,2011,2017,6,White
